## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/variants/aligned_sorted.bam --OUTPUT results/variants/dedup.bam --METRICS_FILE results/variants/dedup_metrics.txt --VALIDATION_STRINGENCY SILENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu May 21 11:42:31 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2030464	14093521	149520	76388556	600383	616219	0	0.060654	156433290

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12948056	12948056
2.0	1.913846	484513	484513
3.0	2.748961	30796	30796
4.0	3.512128	6499	6499
5.0	4.209546	2952	2952
6.0	4.846878	1555	1555
7.0	5.429301	857	857
8.0	5.961547	527	527
9.0	6.447938	349	349
10.0	6.892425	226	226
11.0	7.298617	151	151
12.0	7.669814	111	111
13.0	8.009032	103	103
14.0	8.319024	73	73
15.0	8.60231	62	62
16.0	8.861189	48	48
17.0	9.097765	42	42
18.0	9.313959	35	35
19.0	9.511528	37	37
20.0	9.692075	40	40
21.0	9.857067	18	18
22.0	10.007844	24	24
23.0	10.145632	29	29
24.0	10.271548	15	15
25.0	10.386617	15	15
26.0	10.491772	14	14
27.0	10.587867	11	11
28.0	10.675683	8	8
29.0	10.755934	14	14
30.0	10.829271	12	12
31.0	10.896289	9	9
32.0	10.957534	11	11
33.0	11.013502	4	4
34.0	11.064649	10	10
35.0	11.111389	5	5
36.0	11.154102	12	12
37.0	11.193135	9	9
38.0	11.228805	3	3
39.0	11.261402	6	6
40.0	11.291191	3	3
41.0	11.318414	6	6
42.0	11.343291	2	2
43.0	11.366025	0	0
44.0	11.3868	2	2
45.0	11.405785	1	1
46.0	11.423135	3	3
47.0	11.43899	1	1
48.0	11.453479	1	1
49.0	11.46672	2	2
50.0	11.47882	3	3
51.0	11.489877	1	1
52.0	11.499982	2	2
53.0	11.509217	0	0
54.0	11.517655	4	4
55.0	11.525367	2	2
56.0	11.532414	1	1
57.0	11.538855	0	0
58.0	11.54474	1	1
59.0	11.550118	1	1
60.0	11.555033	0	0
61.0	11.559525	1	1
62.0	11.563629	1	1
63.0	11.56738	0	0
64.0	11.570808	0	0
65.0	11.57394	0	0
66.0	11.576803	1	1
67.0	11.579419	0	0
68.0	11.581809	0	0
69.0	11.583994	0	0
70.0	11.58599	0	0
71.0	11.587815	0	0
72.0	11.589482	0	0
73.0	11.591006	0	0
74.0	11.592398	0	0
75.0	11.59367	0	0
76.0	11.594833	0	0
77.0	11.595896	0	0
78.0	11.596867	0	0
79.0	11.597754	0	0
80.0	11.598565	0	0
81.0	11.599306	0	0
82.0	11.599983	0	0
83.0	11.600602	0	0
84.0	11.601168	0	0
85.0	11.601685	0	0
86.0	11.602157	0	0
87.0	11.602588	0	0
88.0	11.602983	0	0
89.0	11.603343	0	0
90.0	11.603673	0	0
91.0	11.603974	0	0
92.0	11.604249	0	0
93.0	11.6045	0	0
94.0	11.60473	0	0
95.0	11.60494	1	1
96.0	11.605132	0	0
97.0	11.605307	0	0
98.0	11.605467	1	1
99.0	11.605614	0	0
100.0	11.605747	0	0

